map
	ez_nostalgia
end

values
	1.68578000,15.34726000,5.98960000,352.96700000,48.90007000,358.05000000,0,0,0,1,
	1.69166300,15.32640000,5.79300000,353.13040000,48.97507000,357.60000000,0,0,0,1,
	1.69959600,15.32640000,5.79300000,353.13040000,48.97507000,357.22500000,0,0,0,1,
	1.70589200,15.32640000,5.79300000,353.13040000,49.12507000,356.55000000,0,0,0,1,
	1.71255800,15.30125000,5.59000000,353.29350000,49.20008000,356.10000000,0,0,0,1,
	1.71889000,15.30125000,5.59000000,353.29350000,49.35008000,355.42500000,0,0,0,1,
	1.72643700,15.30125000,5.59000000,353.29350000,49.42508000,354.97500000,0,0,0,1,
	1.73133300,15.27094000,5.38060000,353.45610000,49.50008000,354.30000000,0,0,0,1,
	1.73673000,15.27094000,5.38060000,353.45610000,49.57508000,353.92500000,0,0,0,1,
	1.74261900,15.27094000,5.38060000,353.45610000,49.72509000,353.25000000,0,0,0,1,
	1.74772600,15.23592000,5.16480000,353.61820000,49.80008000,352.65000000,0,0,0,1,
	1.75654100,15.23592000,5.16480000,353.61820000,49.87508000,352.12500000,0,0,0,1,
	1.76199000,15.23592000,5.16480000,353.61820000,50.02508000,351.22500000,0,0,0,1,
	1.76776800,15.19491000,4.94260000,353.77930000,50.17508000,350.55000000,0,0,0,1,
	1.77339100,15.19491000,4.94260000,353.77930000,50.25008000,349.95000000,0,0,0,1,
	1.77789200,15.19491000,4.94260000,353.77930000,50.32509000,349.35000000,0,0,0,1,
	1.78362000,15.19491000,4.94260000,353.77930000,50.40009000,348.75000000,0,0,0,1,
	1.79112100,15.14686000,4.71400000,353.93910000,50.55009000,348.07500000,0,0,0,1,
	1.79694800,15.14686000,4.71400000,353.93910000,50.70009000,347.10000000,0,0,0,1,
	1.80352700,15.14686000,4.71400000,353.93910000,50.77510000,346.57500000,0,0,0,1,
	1.80961000,15.09224000,4.47900000,354.09730000,50.85009000,345.75000000,0,0,0,1,
	1.81507900,15.09224000,4.47900000,354.09730000,51.00010000,344.85000000,0,0,0,1,
	1.82063800,15.09224000,4.47900000,354.09730000,51.07510000,344.32500000,0,0,0,1,
	1.82550400,15.09224000,4.47900000,354.09730000,51.22509000,343.57500000,0,0,0,1,
	1.83260700,15.02942000,4.23760000,354.25310000,51.30010000,342.82500000,0,0,0,1,
	1.83850800,15.02942000,4.23760000,354.25310000,51.45010000,341.77500000,0,0,0,1,
	1.84373000,15.02942000,4.23760000,354.25310000,51.52509000,341.02500000,0,0,0,1,
	1.85142500,14.95954000,3.98980000,354.40650000,51.67510000,340.27500000,0,0,0,1,
	1.85839200,14.95954000,3.98980000,354.40650000,51.82511000,339.00000000,0,0,0,1,
