map
	ez_horizon
end

values
	1.33137900,-0.01860150,1.43400000,9.76722800,34.50002000,353.92500000,0,0,0,0,
	1.33722900,-0.04731019,1.35260000,9.92900300,34.50002000,353.62500000,0,0,1,0,
	1.34381300,-0.04731019,1.35260000,9.92900300,34.50002000,353.47500000,0,0,1,0,
	1.34683600,-0.04731019,1.35260000,9.92900300,34.50002000,353.40000000,0,0,1,0,
	1.34980800,-0.04731019,1.35260000,9.92900300,34.50002000,353.40000000,0,0,1,0,
	1.35298700,-0.04731019,1.35260000,9.92900300,34.50002000,353.40000000,0,0,1,0,
	1.35647300,-0.05225114,1.26480000,10.09351000,34.50002000,353.40000000,0,0,1,0,
	1.36016500,-0.05225114,1.26480000,10.09351000,34.50002000,353.40000000,0,0,1,0,
	1.36477400,-0.05225114,1.26480000,10.09351000,34.50002000,353.40000000,0,0,1,0,
	1.36950700,-0.05225114,1.26480000,10.09351000,34.50002000,353.47500000,0,0,1,0,
	1.37651400,-0.05676542,1.17060000,10.25807000,34.50003000,353.55000000,0,0,1,0,
	1.38441700,-0.05676542,1.17060000,10.25807000,34.50002000,353.85000000,0,0,1,0,
	1.39173400,-0.05676542,1.17060000,10.25807000,34.42502000,354.30000000,0,0,1,0,
	1.40025300,-0.05764380,1.07000000,10.42298000,34.35002000,354.82500000,0,0,1,0,
	1.40688600,-0.05764380,1.07000000,10.42298000,34.20002000,355.80000000,0,0,1,0,
	1.41229800,-0.05764380,1.07000000,10.42298000,34.12502000,356.47500000,0,0,1,0,
	1.41935500,-0.05164159,0.96299970,10.58832000,34.05002000,357.22500000,0,0,1,0,
	1.42394800,-0.05164159,0.96299970,10.58832000,33.97502000,358.05000000,0,0,1,0,
	1.43126400,-0.05164159,0.96299970,10.58832000,33.90002000,358.80000000,0,0,1,0,
	1.43623600,-0.03785814,0.84959970,10.75380000,33.82502000,359.92500000,0,0,1,0,
	1.44171400,-0.03785814,0.84959970,10.75380000,33.75001000,0.67500350,0,0,1,0,
	1.44838800,-0.03785814,0.84959970,10.75380000,33.67502000,1.72500400,0,0,1,0,
	1.45299200,-0.03785814,0.84959970,10.75380000,33.60001000,2.70000400,0,0,1,0,
	1.45990800,-0.01344585,0.96019970,10.91885000,33.52501000,3.60000400,0,0,1,0,
	1.46596900,-0.01344585,0.96019970,10.91885000,33.52501000,4.87500400,0,0,1,0,
	1.47129500,-0.01344585,0.96019970,10.91885000,33.45001000,6.15000300,0,0,1,0,
	1.47731500,0.02181149,1.06440000,11.08275000,33.37501000,7.35000300,0,0,1,0,
	1.48327700,0.02181149,1.06440000,11.08275000,33.30001000,8.70000600,0,0,1,0,
	1.49027300,0.02181149,1.06440000,11.08275000,33.30001000,10.20000000,0,0,1,0,
	1.49823500,0.06979576,1.16220000,11.24434000,33.22501000,11.77501000,0,0,1,0,
	1.50567700,0.06979576,1.16220000,11.24434000,33.15001000,13.65000000,0,0,1,0,
	1.51120400,0.06979576,1.16220000,11.24434000,33.07500000,15.37500000,0,0,1,0,
