map
	ez_training
end

values
	0.85692940,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
	0.85987960,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
	0.86375460,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
	0.86720510,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.87043610,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.87321030,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.87626740,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.87905230,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.88203190,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.88455310,8.03110600,0.90000000,9.23147700,21.24999000,180.80020000,1,0,0,0,
	0.88755920,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.89095960,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.89535580,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.89799900,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.90101420,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.90389380,8.02868900,0.90000000,9.07749600,21.24999000,180.80020000,1,0,0,0,
	0.90688040,8.02629500,0.90000000,8.92351400,21.24999000,180.80020000,1,0,0,0,
	0.91070570,8.02629500,0.90000000,8.92351400,21.24999000,180.80020000,1,0,0,0,
	0.91320840,8.02629500,0.90000000,8.92351400,21.24999000,180.80020000,1,0,0,0,
	0.91671690,8.02629500,0.90000000,8.92351400,21.24999000,180.80020000,1,0,0,0,
	0.91935050,8.02629500,0.90000000,8.92351400,21.24999000,180.80020000,1,0,0,0,
	0.92492720,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.92933710,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.93197480,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.93491140,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.93849300,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.94134620,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.94450190,8.02391700,0.90000000,8.76953200,21.24999000,180.80020000,1,0,0,0,
	0.94741500,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.95144890,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.95592530,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.95854590,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.96123280,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.96447310,8.02156400,0.90000000,8.61555000,21.24999000,180.80020000,1,0,0,0,
	0.96760620,8.01922900,0.90000000,8.46156800,21.24999000,180.80020000,1,0,0,0,
	0.97209970,8.01922900,0.90000000,8.46156800,21.24999000,180.80020000,1,0,0,0,
	0.97551280,8.01922900,0.90000000,8.46156800,21.24999000,180.80020000,1,0,0,0,
	0.98195110,8.01922900,0.90000000,8.46156800,21.24999000,180.80020000,1,0,0,0,
