map
	ez_square
end

values
	1.32770900,54.04768000,1.96300000,6.69377300,31.50003000,303.82500000,0,0,0,1,
	1.33170400,54.04768000,1.96300000,6.69377300,31.50003000,302.92500000,0,0,0,1,
	1.33688200,53.89568000,1.84960000,6.77392000,31.50003000,302.47500000,0,0,0,1,
	1.34181100,53.89568000,1.84960000,6.77392000,31.50003000,301.87500000,0,0,0,1,
	1.34721700,53.89568000,1.84960000,6.77392000,31.42502000,301.20000000,0,0,0,1,
	1.35577400,53.74088000,1.96020000,6.84946300,31.42502000,300.67500000,0,0,0,1,
	1.36112100,53.74088000,1.96020000,6.84946300,31.42502000,299.92500000,0,0,0,1,
	1.36614400,53.74088000,1.96020000,6.84946300,31.42502000,299.47500000,0,0,0,1,
	1.37010200,53.74088000,1.96020000,6.84946300,31.35002000,299.02500000,0,0,0,1,
	1.37379400,53.74088000,1.96020000,6.84946300,31.35002000,298.65000000,0,0,0,1,
	1.37759700,53.58278000,2.06440000,6.91911800,31.35003000,298.42500000,0,0,0,1,
	1.38312900,53.58278000,2.06440000,6.91911800,31.35002000,298.20000000,0,0,0,1,
	1.38683900,53.58278000,2.06440000,6.91911800,31.35002000,297.90000000,0,0,0,1,
	1.39077600,53.58278000,2.06440000,6.91911800,31.35002000,297.67500000,0,0,0,1,
	1.39432700,53.58278000,2.06440000,6.91911800,31.35002000,297.45000000,0,0,0,1,
	1.39843700,53.42310000,2.16220000,6.98577900,31.35002000,297.30000000,0,0,0,1,
	1.40307400,53.42310000,2.16220000,6.98577900,31.35002000,297.15000000,0,0,0,1,
	1.40700200,53.42310000,2.16220000,6.98577900,31.35002000,296.92500000,0,0,0,1,
